image_to_process;rgb_color;r;g;b;hex_color;actual_name;closest_name;closet_name_r;closet_name_g;closet_name_b
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1990-1992-home.jpg;(221, 34, 38);221;34;38;#dd2226;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1999-2000-away.jpg;(79, 79, 103);79;79;103;#4f4f67;;dimgrey;105;105;105
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1999-2000-gk.jpg;(236, 236, 156);236;236;156;#ecec9c;;palegoldenrod;238;232;170
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1999-2000-home.jpg;(238, 33, 50);238;33;50;#ee2132;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2000-2001-home.jpg;(229, 67, 51);229;67;51;#e54333;;tomato;255;99;71
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2001-2002-away.jpg;(221, 221, 221);221;221;221;#dddddd;;gainsboro;220;220;220
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2001-2002-home.jpg;(198, 29, 34);198;29;34;#c61d22;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2002-2003-away.jpg;(235, 240, 245);235;240;245;#ebf0f5;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2003-2004-third.jpg;(19, 19, 20);19;19;20;#131314;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/accrington-2004-2005-home.jpg;(196, 0, 29);196;0;29;#c4001d;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/accrington-2008-2009-away.jpg;(244, 216, 44);244;216;44;#f4d82c;;gold;255;215;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/accrington-2008-2009-home.jpg;(247, 20, 33);247;20;33;#f71421;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-1999-2000-home.jpg;(231, 234, 38);231;234;38;#e7ea26;;gold;255;215;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2002-2003-third.jpg;(166, 32, 53);166;32;53;#a62035;;brown;165;42;42
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2003-2004-home.jpg;(17, 17, 15);17;17;15;#11110f;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2004-2005-home.jpg;(243, 211, 15);243;211;15;#f3d30f;;gold;255;215;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2005-2006-away.jpg;(17, 21, 20);17;21;20;#111514;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2005-2006-home.jpg;(236, 209, 17);236;209;17;#ecd111;;gold;255;215;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2006-2007-away.jpg;(40, 37, 35);40;37;35;#282523;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2006-2007-gk.jpg;(251, 200, 50);251;200;50;#fbc832;;goldenrod;218;165;32
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2006-2007-home.jpg;(239, 197, 60);239;197;60;#efc53c;;goldenrod;218;165;32
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2007-2008-gk.jpg;(230, 203, 157);230;203;157;#e6cb9d;;burlywood;222;184;135
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2008-2009-away.jpg;(33, 33, 33);33;33;33;#212121;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2008-2009-gk.jpg;(42, 44, 58);42;44;58;#2a2c3a;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2008-2009-home.jpg;(226, 194, 56);226;194;56;#e2c238;;goldenrod;218;165;32
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2008-2009-third.jpg;(72, 43, 45);72;43;45;#482b2d;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2010-2011-home.jpg;(237, 214, 66);237;214;66;#edd642;;sandybrown;244;164;96
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aek-2011-2012-home.jpg;(241, 184, 33);241;184;33;#f1b821;;goldenrod;218;165;32
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1986-1987-home.jpg;(198, 32, 45);198;32;45;#c6202d;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1988-1991-away.jpg;(41, 46, 113);41;46;113;#292e71;;midnightblue;25;25;112
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1988-1991-home.jpg;(220, 32, 36);220;32;36;#dc2024;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1991-1993-away.jpg;(5, 129, 124);5;129;124;#05817c;;teal;0;128;128
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1991-1993-home.jpg;(220, 35, 38);220;35;38;#dc2326;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1993-1994-home.jpg;(215, 33, 37);215;33;37;#d72125;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1994-1995-away.jpg;(47, 44, 69);47;44;69;#2f2c45;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1994-1995-home.jpg;(215, 31, 37);215;31;37;#d71f25;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1995-1996-away.jpg;(21, 56, 56);21;56;56;#153838;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1997-1998-away.jpg;(31, 31, 41);31;31;41;#1f1f29;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1997-1998-home.jpg;(162, 45, 46);162;45;46;#a22d2e;;brown;165;42;42
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1998-1999-home.jpg;(231, 30, 36);231;30;36;#e71e24;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1999-2000-away.jpg;(18, 82, 162);18;82;162;#1252a2;;teal;0;128;128
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-1999-2000-home.jpg;(188, 43, 44);188;43;44;#bc2b2c;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2000-2001-away.jpg;(30, 30, 56);30;30;56;#1e1e38;;midnightblue;25;25;112
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2000-2001-home.jpg;(193, 40, 47);193;40;47;#c1282f;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2001-2002-away.jpg;(40, 31, 36);40;31;36;#281f24;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2001-2002-home.jpg;(220, 31, 37);220;31;37;#dc1f25;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2002-2003-away.jpg;(131, 176, 205);131;176;205;#83b0cd;;skyblue;135;206;235
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2002-2003-home.jpg;(226, 49, 34);226;49;34;#e23122;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2003-2004-away.jpg;(52, 61, 70);52;61;70;#343d46;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2003-2004-home.jpg;(251, 253, 253);251;253;253;#fbfdfd;;white;255;255;255
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2004-2005-away.jpg;(240, 225, 149);240;225;149;#f0e195;;khaki;240;230;140
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2004-2005-home.jpg;(233, 32, 42);233;32;42;#e9202a;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2004-2005-third.jpg;(9, 4, 5);9;4;5;#090405;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2005-2006-away.jpg;(51, 44, 65);51;44;65;#332c41;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2005-2006-home.jpg;(216, 35, 37);216;35;37;#d82325;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2006-2007-away.jpg;(27, 25, 22);27;25;22;#1b1916;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2006-2007-home.jpg;(201, 32, 65);201;32;65;#c92041;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2007-2008-away.jpg;(24, 31, 54);24;31;54;#181f36;;midnightblue;25;25;112
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2007-2008-home.jpg;(178, 34, 49);178;34;49;#b22231;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2008-2009-away.jpg;(39, 63, 148);39;63;148;#273f94;;darkslateblue;72;61;139
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2008-2009-home.jpg;(196, 30, 35);196;30;35;#c41e23;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2009-2010-away.jpg;(17, 16, 16);17;16;16;#111010;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2009-2010-home.jpg;(192, 31, 37);192;31;37;#c01f25;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2010-2011-away.jpg;(25, 32, 74);25;32;74;#19204a;;midnightblue;25;25;112
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2010-2011-home.jpg;(201, 31, 36);201;31;36;#c91f24;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2011-2012-away.jpg;(162, 205, 234);162;205;234;#a2cdea;;lightblue;173;216;230
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2011-2012-home.jpg;(213, 33, 51);213;33;51;#d52133;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2012-2013-away.jpg;(11, 26, 36);11;26;36;#0b1a24;;black;0;0;0
